WRN 2026-04-27T09:52:03.912 ui.16456   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T09:52:03.912 ui.16456   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T09:52:03.912 ui.16456   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T09:52:03.912 ui.16456   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T09:52:03.912 ui.16456   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T10:59:14.870 ui.16407   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T10:59:14.870 ui.16407   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T10:59:14.870 ui.16407   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T10:59:14.870 ui.16407   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T10:59:14.870 ui.16407   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T11:13:49.823 ui.23395   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T11:13:49.823 ui.23395   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T11:13:49.823 ui.23395   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T11:13:49.823 ui.23395   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T11:13:49.823 ui.23395   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T12:23:23.780 ui.35761   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T12:23:23.780 ui.35761   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T12:23:23.780 ui.35761   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T12:23:23.780 ui.35761   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T12:23:23.780 ui.35761   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T12:42:14.653 ui.39607   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T12:42:14.653 ui.39607   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T12:42:14.653 ui.39607   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T12:42:14.653 ui.39607   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T12:42:14.653 ui.39607   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T15:51:33.730 ui.33627   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T15:51:33.730 ui.33627   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T15:51:33.730 ui.33627   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T15:51:33.730 ui.33627   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T15:51:33.730 ui.33627   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T15:54:10.440 ui.34531   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T15:54:10.440 ui.34531   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T15:54:10.440 ui.34531   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T15:54:10.440 ui.34531   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T15:54:10.440 ui.34531   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T15:55:09.678 ui.35854   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T15:55:09.678 ui.35854   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T15:55:09.678 ui.35854   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T15:55:09.678 ui.35854   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T15:55:09.678 ui.35854   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T15:57:46.006 ui.37172   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T15:57:46.006 ui.37172   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T15:57:46.006 ui.37172   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T15:57:46.006 ui.37172   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T15:57:46.006 ui.37172   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T16:03:15.223 ui.37573   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T16:03:15.223 ui.37573   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T16:03:15.223 ui.37573   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T16:03:15.223 ui.37573   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T16:03:15.223 ui.37573   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T16:03:23.710 ui.38233   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T16:03:23.710 ui.38233   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T16:03:23.710 ui.38233   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T16:03:23.710 ui.38233   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T16:03:23.710 ui.38233   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T16:03:33.281 ui.38562   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T16:03:33.281 ui.38562   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T16:03:33.281 ui.38562   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T16:03:33.281 ui.38562   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T16:03:33.281 ui.38562   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-27T16:03:43.903 ui.38845   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-27T16:03:43.903 ui.38845   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-27T16:03:43.903 ui.38845   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-27T16:03:43.903 ui.38845   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-27T16:03:43.903 ui.38845   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
